id,outputID,fund,country,ipName,sector,projectOrEDID,projectNameOrEDObjective,projectType,outputNumber,outputName,plannedStartDate,plannedEndDate,actualStartDate,forecastedCompletionDate,actualEndDate,status,comments,verification
"2ba49e17-b6a2-4e6e-80ce-9822ff451e0f",2,"UK","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"6c91143d-c30d-4cd7-a935-56eebaaef148",4,"UK","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"733797ad-4a8d-4a5d-ba5e-00bf8f462827",5,"UK2","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"839857db-d87e-4a2d-9f65-86ba991e0899",6,"UK","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"863b566a-95eb-4aa7-b8f0-214f7f9bb993",7,"UK","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"880c9300-664b-43a6-a292-1f8631d3c50e",8,"UK","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"c8f922b9-2a29-4c88-979d-12da57156de3",9,"UK","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"0af1a942-567f-4219-8763-1c9bd3505017",12,"ZA2-000868-So-1","South Africa","SAIIA","Building the Green Hydrogen Economy","South Africa","Energy","Grant","1","Example output 1 name","2021-02-18","2022-04-30","2021-02-22","2022-04-30","","2. Delayed < 1 month","",""
"28a5dacf-b47a-43b4-907f-0688367a644a",18,"MX2-001110-Me-1","Mexico","Global Green Growth Institute","Accelerating Green Finance Flows Through the Strengthening of the Mexican National Banking and Securities Commission (CNBV)","Mexico","Finance","Grant","1","Example output 1 name","2021-03-05","2025-01-31","2021-03-09","2025-01-31","","1. On track","",""
"2d9ea659-2c0b-4b55-b6db-9a689556d82b",19,"AM-MRV29-Am-1","Amazon","Solidaridad"," Amazon InnovaTec: strengthening the MRV of smallholder farms in the Peruvian Amazon to access global deforestation-free markets and contribute to Peru’s NDC.  ","Amazon","Low-Carbon Policy","Grant","1","Example output 1 name","2023-06-01","2024-09-30","2023-06-05","2024-09-30","","1. On track","",""
"34bcf85a-348f-4e78-b541-da994f0ba101",20,"KE1-001168-Ke-1","Kenya","Strathmore University","Accelerating access to clean energy in Kenya through application of innovative and integrated energy planning tools and data driven policy making at national and sub-national levels","Kenya","Energy","Grant","1","Example output 1 name","2021-07-14","2024-03-31","2021-07-18","2024-03-31","2024-11-04","Completed with delay > 3 months","","https://palladiumgroupgbr.sharepoint.com/:w:/r/sites/UKPACT764/Shared%20Documents/General/2.%20Information%20management/IMS/Output%20tracker%20database/Example%20output%20evidence%202.docx?d=w1547f9f7ec1f45878283618314cc08e2&csf=1&web=1&e=AzJjjF;\n\nhttps://palladiumgroupgbr.sharepoint.com/:w:/r/sites/UKPACT764/Shared%20Documents/General/2.%20Information%20management/IMS/Output%20tracker%20database/Example%20output%20evidence%201.docx?d=wf58de7d688b64eab8a9959fad4920b7d&csf=1&web=1&e=aydRDZ\n"
"522cc523-0853-4257-a75d-dd5bf2b4de4e",21,"BR1-008051-Br-1","Brazil","Talanoa Institute","Brazil Towards Low Carbon - BTLC","Brazil","Finance","Grant","1","Example output 1 name","2024-01-02","2026-12-31","2024-01-06","2026-12-31","","1. On track","",""
"560a5a92-c94a-4355-9f16-e3d1a568e8d5",22,"CO2-000917-Co-1","Colombia","Rare","Adopting New Technology, Mindsets, and Practices to Transform Colombia’s Agricultural Sector","Colombia","Nature","Grant","1","Example output 1 name","2021-02-25","2024-06-30","2021-03-01","2024-06-30","","1. On track","",""
"599b0ce2-18a6-4a17-a82d-c3921f65ee6b",23,"MX2-001083-Me-1","Mexico","Centro Mario Molina","Assessment of the greenhouse gas mitigation potential of hydrogen. An implementation roadmap for Mexico","Mexico","Energy","Grant","1","Example output 1 name","2021-03-03","2022-03-02","2021-03-07","2022-03-02","","1. On track","",""
"e9dfec65-aeda-49c4-9767-f15688570f85",10,"UK3","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-16","Closed","doing well",""
"63067fb0-e8e4-4eb5-a418-9888ba6a0244",3,"UK4","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-01","2024-03-30","2022-07-01","2026-08-01","2024-10-01","Closed","doing well",""
"16fa0668-9afc-4cb3-90bb-80378446f40b",42,"CO3-101368 -Co-1","88700101-4982-48cb-ac38-c6c14cec666c","WWF ARJE","Carbon for the People (ARJE in Spanish) ","Colombia","Low-Carbon Policy","Grant","1","Example output 1 name","2023-02-01","2024-03-31","2023-02-05","2024-03-31","","2. Delayed < 1 month","",""
"19b4b3a1-f2de-4e52-9b40-d5289187f2bc",43,"CO2-000897-Co-1","df627a88-23bf-4fb4-8e24-8699b6fb4547","Global Green Growth Institute","Accelerating development of new bioeconomy businesses and enhanced capacities for green jobs promotion and increased climate action ambition from policy implementation and integration.","Colombia","Low-Carbon Policy","Grant","1","Example output 1 name","2021-02-25","2024-03-31","2021-03-01","2024-03-31","2024-11-04","Completed with delay > 3 months","","https://palladiumgroupgbr.sharepoint.com/:w:/r/sites/UKPACT764/Shared%20Documents/General/2.%20Information%20management/IMS/Output%20tracker%20database/Example%20output%20evidence%202.docx?d=w1547f9f7ec1f45878283618314cc08e2&csf=1&web=1&e=AzJjjF;\\n\\nhttps://palladiumgroupgbr.sharepoint.com/:w:/r/sites/UKPACT764/Shared%20Documents/General/2.%20Information%20management/IMS/Output%20tracker%20database/Example%20output%20evidence%201.docx?d=wf58de7d688b64eab8a9959fad4920b7d&csf=1&web=1&e=aydRDZ\\n"
"06ea6104-69f0-46a6-b9a9-f165891c6de4",1,"UK6","Kenya","Palladium","Climate","9","Climate change ","Impact","9","Climate","2022-04-22","2024-03-30","2022-07-28","2026-08-01","2024-10-01","Closed","doing well",""
"0e6b64d0-f084-4d2e-941c-b04913f457db",13,"KE2-001425-Ke-1","Kenya","Conservation International","Accelerating REDD+ in Kenya for equitable climate mitigation and benefits (ClimateARK)","Kenya","Nature","Grant","1","Example output 1 name","2022-09-01","2025-03-31","2022-09-05","2025-03-31","2025-01-30","1. On track","",""
